Date,Main Pollutant,CO(ppm),SO2(ug/m3),NO2(ug/m3),Ozone(ug/m3),PM10(uq/m3),PM25(ug/m3),Temperature,precipitation,Overall AQI Value
1-Jan-15,PM2.5,7,6,28,35,0,51,0.55,99.06,57
2-Jan-15,NO2,7,6,57,33,22,56,0.55,99.06,107
3-Jan-15,NO2,11,16,107,29,0,69,0.55,99.06,52
4-Jan-15,PM2.5,10,11,43,32,0,52,0.55,99.06,48
5-Jan-15,PM2.5,7,6,42,36,6,48,0.55,99.06,46
6-Jan-15,PM2.5,7,11,19,35,0,46,0.55,99.06,52
7-Jan-15,PM2.5,8,11,42,35,0,52,0.55,99.06,69
8-Jan-15,PM2.5,10,17,56,27,27,69,0.55,99.06,75
9-Jan-15,PM2.5,9,7,48,33,0,75,0.55,99.06,84
10-Jan-15,NO2,15,7,84,25,0,64,0.55,99.06,95
11-Jan-15,PM2.5,23,7,83,32,37,95,0.55,99.06,58
12-Jan-15,NO2,20,4,58,32,0,55,0.55,99.06,44
13-Jan-15,PM2.5,9,1,25,33,0,44,0.55,99.06,43
14-Jan-15,PM2.5,6,6,27,37,6,43,0.55,99.06,64
15-Jan-15,NO2,8,16,64,33,0,58,0.55,99.06,69
16-Jan-15,PM2.5,13,3,47,25,0,69,0.55,99.06,62
17-Jan-15,PM2.5,13,3,47,26,15,62,0.55,99.06,76
18-Jan-15,NO2,8,3,76,31,0,58,0.55,99.06,72
19-Jan-15,PM2.5,11,6,53,33,0,72,0.55,99.06,56
20-Jan-15,PM2.5,13,4,45,39,21,56,0.55,99.06,67
21-Jan-15,PM2.5,10,6,51,40,0,67,0.55,99.06,96
22-Jan-15,PM2.5,16,4,52,31,0,96,0.55,99.06,51
23-Jan-15,PM2.5,10,4,45,36,12,51,0.55,99.06,39
24-Jan-15,PM2.5,5,3,26,33,0,39,0.55,99.06,39
25-Jan-15,NO2,7,3,39,37,0,36,0.55,99.06,54
26-Jan-15,NO2,13,4,54,34,16,53,0.55,99.06,52
27-Jan-15,PM2.5,20,1,39,39,0,52,0.55,99.06,52
28-Jan-15,PM2.5,7,3,34,29,0,52,0.55,99.06,56
29-Jan-15,PM2.5,15,1,41,31,12,56,0.55,99.06,43
30-Jan-15,PM2.5,6,1,39,31,0,43,0.55,99.06,67
31-Jan-15,NO2,8,1,67,32,0,38,0.55,99.06,66
1-Feb-15,NO2,11,4,66,28,25,58,2.77,74.93,45
2-Feb-15,PM2.5,10,3,38,35,0,45,2.77,74.93,41
3-Feb-15,PM2.5,9,3,31,31,0,41,2.77,74.93,50
4-Feb-15,NO2,10,1,50,35,11,48,2.77,74.93,54
5-Feb-15,NO2,10,3,54,39,0,43,2.77,74.93,61
6-Feb-15,NO2,11,4,61,31,0,60,2.77,74.93,74
7-Feb-15,PM2.5,13,6,53,35,17,74,2.77,74.93,53
8-Feb-15,PM2.5,7,3,34,39,0,53,2.77,74.93,75
9-Feb-15,PM2.5,11,3,50,35,0,75,2.77,74.93,84
10-Feb-15,PM2.5,16,3,58,35,26,84,2.77,74.93,59
11-Feb-15,PM2.5,22,3,57,23,0,59,2.77,74.93,42
12-Feb-15,PM2.5,10,3,37,41,0,42,2.77,74.93,54
13-Feb-15,PM2.5,8,3,46,38,14,54,2.77,74.93,60
14-Feb-15,PM2.5,9,3,55,31,0,60,2.77,74.93,84
15-Feb-15,PM2.5,14,3,47,16,0,84,2.77,74.93,52
16-Feb-15,PM2.5,13,3,41,37,6,52,2.77,74.93,51
17-Feb-15,PM2.5,8,4,48,37,0,51,2.77,74.93,53
18-Feb-15,NO2,13,3,53,40,0,48,2.77,74.93,60
19-Feb-15,PM2.5,18,3,49,37,19,60,2.77,74.93,63
20-Feb-15,PM2.5,11,3,43,24,0,63,2.77,74.93,52
21-Feb-15,PM2.5,11,3,41,32,0,52,2.77,74.93,54
22-Feb-15,PM2.5,6,1,34,31,5,54,2.77,74.93,54
23-Feb-15,PM2.5,8,0,45,30,0,54,2.77,74.93,53
24-Feb-15,PM2.5,7,3,27,22,0,53,2.77,74.93,57
25-Feb-15,PM2.5,6,1,38,29,8,57,2.77,74.93,62
26-Feb-15,NO2,11,4,62,38,0,46,2.77,74.93,49
27-Feb-15,NO2,9,6,49,44,0,38,2.77,74.93,56
28-Feb-15,NO2,8,6,56,41,13,53,2.77,74.93,71
1-Mar-15,NO2,11,6,71,42,0,69,6.11,103.124,39
2-Mar-15,Ozone,6,1,24,39,0,26,6.11,103.124,37
3-Mar-15,Ozone,8,1,19,37,6,32,6.11,103.124,41
4-Mar-15,Ozone,7,1,11,41,0,20,6.11,103.124,43
5-Mar-15,PM2.5,9,3,35,37,0,43,6.11,103.124,113
6-Mar-15,PM2.5,13,3,42,42,11,113,6.11,103.124,45
7-Mar-15,PM2.5,9,6,31,39,0,45,6.11,103.124,76
8-Mar-15,NO2,15,1,76,40,0,34,6.11,103.124,40
9-Mar-15,PM2.5,5,1,30,38,13,40,6.11,103.124,42
10-Mar-15,Ozone,8,1,36,42,0,32,6.11,103.124,43
11-Mar-15,Ozone,7,3,39,43,0,33,6.11,103.124,82
12-Mar-15,PM2.5,10,6,42,40,10,82,6.11,103.124,53
13-Mar-15,NO2,7,1,53,41,0,28,6.11,103.124,48
14-Mar-15,PM2.5,8,4,41,39,0,48,6.11,103.124,47
15-Mar-15,Ozone,8,1,39,47,15,44,6.11,103.124,42
16-Mar-15,Ozone,10,1,35,42,0,40,6.11,103.124,45
17-Mar-15,Ozone,8,1,24,45,0,28,6.11,103.124,53
18-Mar-15,NO2,8,4,53,45,0,26,6.11,103.124,65
19-Mar-15,NO2,15,3,65,44,0,54,6.11,103.124,55
20-Mar-15,NO2,9,1,55,40,0,52,6.11,103.124,53
21-Mar-15,PM2.5,11,1,28,41,12,53,6.11,103.124,72
22-Mar-15,NO2,13,3,72,45,0,35,6.11,103.124,77
23-Mar-15,NO2,5,6,77,43,0,28,6.11,103.124,44
24-Mar-15,Ozone,8,4,29,44,6,25,6.11,103.124,41
25-Mar-15,Ozone,8,1,23,41,0,30,6.11,103.124,63
26-Mar-15,PM2.5,11,3,58,45,0,63,6.11,103.124,53
27-Mar-15,NO2,7,4,53,44,22,51,6.11,103.124,66
28-Mar-15,PM2.5,7,3,50,35,0,66,6.11,103.124,77
29-Mar-15,PM2.5,15,1,42,37,0,77,6.11,103.124,67
30-Mar-15,PM2.5,10,4,61,37,19,67,6.11,103.124,44
31-Mar-15,Ozone,5,1,25,44,0,28,6.11,103.124,44
1-Apr-15,Ozone,7,1,25,44,0,32,11.1,100.07,60
2-Apr-15,NO2,7,1,60,44,10,53,11.1,100.07,58
3-Apr-15,PM2.5,9,3,47,42,0,58,11.1,100.07,58
4-Apr-15,PM2.5,16,3,52,43,0,58,11.1,100.07,44
5-Apr-15,Ozone,5,1,43,44,6,26,11.1,100.07,56
6-Apr-15,PM2.5,11,3,53,49,0,56,11.1,100.07,46
7-Apr-15,Ozone,8,1,17,46,0,28,11.1,100.07,43
8-Apr-15,Ozone,5,1,17,43,7,28,11.1,100.07,43
9-Apr-15,Ozone,9,4,41,43,0,35,11.1,100.07,62
10-Apr-15,PM2.5,6,3,42,43,0,62,11.1,100.07,58
11-Apr-15,PM2.5,9,6,57,50,19,58,11.1,100.07,73
12-Apr-15,PM2.5,8,6,55,51,0,73,11.1,100.07,97
13-Apr-15,Ozone,8,3,55,97,0,66,11.1,100.07,97
14-Apr-15,Ozone,7,3,42,97,41,71,11.1,100.07,43
15-Apr-15,Ozone,3,1,14,43,0,42,11.1,100.07,46
16-Apr-15,NO2,5,4,46,43,0,36,11.1,100.07,34
17-Apr-15,Ozone,6,1,22,34,3,24,11.1,100.07,43
18-Apr-15,NO2,5,1,43,37,0,34,11.1,100.07,43
19-Apr-15,Ozone,6,6,40,43,0,39,11.1,100.07,43
20-Apr-15,Ozone,3,3,30,43,6,23,11.1,100.07,50
21-Apr-15,Ozone,7,1,33,50,0,31,11.1,100.07,54
22-Apr-15,Ozone,5,6,44,54,0,33,11.1,100.07,67
23-Apr-15,Ozone,9,4,60,67,0,60,11.1,100.07,67
24-Apr-15,Ozone,9,3,63,67,0,55,11.1,100.07,49
25-Apr-15,Ozone,8,1,48,49,0,48,11.1,100.07,66
26-Apr-15,PM2.5,8,1,45,48,10,66,11.1,100.07,53
27-Apr-15,PM2.5,10,4,51,46,0,53,11.1,100.07,74
28-Apr-15,Ozone,23,1,41,74,0,65,11.1,100.07,42
29-Apr-15,Ozone,31,0,20,42,5,32,11.1,100.07,41
30-Apr-15,Ozone,32,1,37,41,0,33,11.1,100.07,112
1-May-15,Ozone,6,6,78,112,0,53,17.22,113.03,119
2-May-15,Ozone,6,6,62,119,31,63,17.22,113.03,93
3-May-15,Ozone,6,3,60,93,0,61,17.22,113.03,74
4-May-15,Ozone,8,1,48,74,0,60,17.22,113.03,88
5-May-15,PM2.5,6,1,32,61,9,88,17.22,113.03,48
6-May-15,PM2.5,6,11,31,48,0,48,17.22,113.03,51
7-May-15,Ozone,8,0,42,51,0,48,17.22,113.03,71
8-May-15,Ozone,6,1,54,71,19,52,17.22,113.03,90
9-May-15,Ozone,6,6,60,90,0,56,17.22,113.03,49
10-May-15,PM2.5,7,4,47,48,0,49,17.22,113.03,54
11-May-15,Ozone,7,3,48,54,9,40,17.22,113.03,46
12-May-15,Ozone,6,0,31,46,0,39,17.22,113.03,38
13-May-15,Ozone,7,0,24,38,0,35,17.22,113.03,62
14-May-15,PM2.5,36,0,43,41,18,62,17.22,113.03,74
15-May-15,Ozone,6,1,33,74,0,73,17.22,113.03,48
16-May-15,PM2.5,8,0,42,41,0,48,17.22,113.03,56
17-May-15,PM2.5,8,3,47,31,7,56,17.22,113.03,52
18-May-15,PM2.5,9,1,39,42,0,52,17.22,113.03,33
19-May-15,PM2.5,10,1,31,31,0,33,17.22,113.03,45
20-May-15,PM2.5,10,0,29,40,14,45,17.22,113.03,58
21-May-15,Ozone,6,0,40,58,0,43,17.22,113.03,55
22-May-15,PM2.5,8,3,55,36,0,55,17.22,113.03,58
23-May-15,PM2.5,7,1,42,43,0,58,17.22,113.03,93
24-May-15,Ozone,6,3,45,93,0,51,17.22,113.03,108
25-May-15,Ozone,5,1,40,108,0,60,17.22,113.03,115
26-May-15,Ozone,7,1,49,115,27,66,17.22,113.03,52
27-May-15,PM2.5,8,1,42,46,0,52,17.22,113.03,45
28-May-15,PM2.5,7,0,26,31,0,45,17.22,113.03,115
29-May-15,Ozone,8,1,54,115,0,65,17.22,113.03,60
30-May-15,PM2.5,9,0,43,58,0,60,17.22,113.03,57
31-May-15,PM2.5,8,1,33,35,0,57,17.22,113.03,69
1-Jun-15,PM2.5,8,1,42,46,24,69,22.22,88.9,93
2-Jun-15,Ozone,6,1,40,93,15,62,22.22,88.9,40
3-Jun-15,PM2.5,5,3,13,29,0,40,22.22,88.9,43
4-Jun-15,NO2,6,0,43,33,0,38,22.22,88.9,54
5-Jun-15,Ozone,6,1,38,54,0,51,22.22,88.9,53
6-Jun-15,PM2.5,5,1,29,33,0,53,22.22,88.9,54
7-Jun-15,PM2.5,5,1,30,42,17,54,22.22,88.9,74
8-Jun-15,Ozone,6,3,56,74,0,54,22.22,88.9,119
9-Jun-15,Ozone,6,1,34,119,0,55,22.22,88.9,51
10-Jun-15,PM2.5,6,1,38,37,12,51,22.22,88.9,49
11-Jun-15,PM2.5,5,3,36,45,0,49,22.22,88.9,53
12-Jun-15,PM2.5,5,1,35,51,0,53,22.22,88.9,54
13-Jun-15,PM2.5,6,1,48,44,19,54,22.22,88.9,46
14-Jun-15,Ozone,5,1,29,46,0,37,22.22,88.9,47
15-Jun-15,NO2,5,1,47,40,0,44,22.22,88.9,61
16-Jun-15,Ozone,5,1,39,61,11,48,22.22,88.9,115
17-Jun-15,Ozone,6,7,31,115,0,56,22.22,88.9,133
18-Jun-15,Ozone,6,4,35,133,0,71,22.22,88.9,53
19-Jun-15,PM2.5,5,3,27,47,16,53,22.22,88.9,101
20-Jun-15,Ozone,6,1,38,101,0,53,22.22,88.9,101
21-Jun-15,Ozone,6,1,51,101,0,51,22.22,88.9,52
22-Jun-15,PM2.5,6,1,32,45,13,52,22.22,88.9,50
23-Jun-15,PM2.5,7,1,33,31,0,50,22.22,88.9,63
24-Jun-15,PM2.5,7,1,32,46,0,63,22.22,88.9,38
25-Jun-15,PM2.5,3,1,28,38,13,38,22.22,88.9,50
26-Jun-15,Ozone,5,1,29,50,0,33,22.22,88.9,38
27-Jun-15,Ozone,5,1,34,38,0,34,22.22,88.9,58
28-Jun-15,Ozone,6,1,43,58,11,53,22.22,88.9,80
29-Jun-15,Ozone,6,1,40,80,0,59,22.22,88.9,129
30-Jun-15,Ozone,6,3,45,129,0,56,22.22,88.9,59
1-Jul-15,PM2.5,11,4,44,34,11,59,0.55,99.06,60
2-Jul-15,PM2.5,13,17,43,33,0,60,0.55,99.06,43
3-Jul-15,PM2.5,7,1,42,32,0,43,0.55,99.06,46
4-Jul-15,PM2.5,6,3,27,32,7,46,0.55,99.06,49
5-Jul-15,PM2.5,6,3,28,32,0,49,0.55,99.06,53
6-Jul-15,PM2.5,5,3,28,31,0,53,0.55,99.06,53
7-Jul-15,PM2.5,6,3,24,32,16,53,0.55,99.06,54
8-Jul-15,PM2.5,5,3,22,33,0,54,0.55,99.06,62
9-Jul-15,NO2,8,6,62,30,0,52,0.55,99.06,57
10-Jul-15,PM2.5,11,4,57,36,24,57,0.55,99.06,54
11-Jul-15,PM2.5,10,3,42,34,0,54,0.55,99.06,56
12-Jul-15,PM2.5,9,4,41,31,0,56,0.55,99.06,44
13-Jul-15,PM2.5,6,3,25,40,13,44,0.55,99.06,44
