SO2,NO2,PM2.5,Temp,Rain,AQI,
5,20,244,19,10,115.82,395
5,22,203,19,10,108.688,364
6,22,141,19,10,97.2442,316
4,24,98,19,10,89.3947,227
4,25,119,19,10,93.6049,297
6,15,105,19,10,88.5517,250
6,13,67,19,10,80.9627,146
6,17,94,19,10,87.0509,213
5,56,137,19,10,105.811,375
5,34,125,19,10,97.4167,304
4,47,106,19,10,97.3061,253
6,32,112,19,10,94.6011,273
5,52,138,19,10,104.88,314
6,39,116,19,10,97.303,287
5,40,113,19,10,96.8423,277
5,37,241,19,10,120.014,393
5,40,248,19,10,122.168,398
6,34,179,19,10,107.716,345
4,18,110,19,10,89.9685,267
4,23,110,19,10,91.3622,267
6,16,126,19,10,92.7613,305
6,17,85,19,10,85.3676,183
6,18,117,19,10,91.6338,290
5,19,113,19,10,90.9863,270
5,25,122,19,10,94.3443,302
4,34,126,19,10,97.4264,305
6,32,135,19,10,98.91,312
5,36,146,19,10,101.91,320
6,43,113,19,10,97.8568,277
5,41,104,19,10,95.4353,256
5,17,98,14,27,75.1231,227
6,23,154,14,27,87.4253,326
4,15,119,14,27,78.3061,297
4,19,101,14,27,76.0601,237
6,23,120,14,27,81.07,300
6,26,148,14,27,87.1384,322
6,28,111,14,27,80.7794,270
5,27,168,14,27,90.9821,337
4,28,197,14,27,96.514,359
5,24,174,14,27,91.2691,342
6,31,166,14,27,91.9001,335
5,18,104,14,27,76.5186,247
5,17,108,14,27,76.9868,260
6,35,135,14,27,87.2132,312
4,24,117,14,27,80.4336,290
4,25,186,14,27,93.6171,351
6,21,160,14,27,87.9907,331
6,35,173,14,27,94.326,341
6,22,112,14,27,79.2985,273
5,26,171,14,27,91.265,339
5,27,159,14,27,89.2976,330
4,23,140,14,27,84.4525,315
6,18,114,14,27,78.5605,280
5,25,127,14,27,82.7567,305
